CustomerID,FirstName,LastName,Gender,DateOfBirth,Email,Phone,Address,City,Province,PostalCode
1,John___,Doe,M,1985-03-15,johndoe@gmail.com,416-555-1234,123 Main St,Toronto,Ontario,M5A 1X1
2,Jane,Smith,F,1990-06-22,janesmith@gmail.com,905-555-5678,456 Oak St,Mississauga,Ontario,L5N 3W5
3,Robert,Johnson,M,1982-11-10,robertjohnson@gmail.com,613-555-9876,789 Pine St,Ottawa,Ontario,K1A 1B2
4,Emily,Williams,F,1995-04-05,emilywilliams@gmail.com,905-555-4321,101 Cedar St,Hamilton,Ontario,L8P 4V9
5,Michael,Brown,M,1988-09-30,michaelbrown@gmail.com,N/a,202 Maple St,London,Ontario,N6A 2X3
6,Amy,/Miller,F,1993-12-18,amymiller@gmail.com,226-555-2345,303 Birch St,Kitchener,Ontario,N2G 1A1
3,Robert,Johnson,M,1982-11-10,robertjohnson@gmail.com,613-555-9876,789 Pine St,Ottawa,Ontario,K1A 1B2
7,Christopher,Anderson,M,1980-05-25,chrisanderson@gmail.com,N/a,404 Pine St,Waterloo,Ontario,N2L 3W2
8,Olivia,Davis,F,1987-08-12,oliviadavis@gmail.com,905-555-3456,505 Elm St,Burlington,Ontario,L7R 4T1
9,Ethan,Martin,M,1984-01-20,ethanmartin@gmail.com,905-555-7890,606 Oak St,Markham,Ontario,L3P 0C6
10,Sophia,Moore,F,1991-07-15,sophiamoore@gmail.com,416-555-2345,707 Maple St,Oakville,Ontario,L6H 2Y4
11,William,Clark,M,1978-02-28,williamclark@gmail.com,905-555-6789,808 Birch St,Brampton,Ontario,L6Y 5S5
7,Christopher,Anderson,M,1980-05-25,chrisanderson@gmail.com,N/a,404 Pine St,Waterloo,Ontario,N2L 3W2
12,Emma,Hill,F,1994-09-10,emmahill@gmail.com,519-555-3456,909 Pine St,Guelph,Ontario,N1E 0H8
13,Liam,...Wright,M,1981-04-20,liamwright@gmail.com,705-555-7890,111 Cedar St,Barrie,Ontario,L4N 6G2
14,Charlotte@,Ward,F,1986-11-15,charlotteward@gmail.com,519-555-1234,212 Elm St,Windsor,Ontario,N9A 1B7
15,Aiden,Fisher,M,1997-06-10,aidenfisher@gmail.com,905-555-5678,313 Maple St,Oshawa,Ontario,L1G 4W8
16,Grace,Morris,F,1992-03-25,gracemorris@gmail.com,416-555-4321,124 Oak St,Toronto,Ontario,M5A 1X2
17,Nathan,Reed,M,1989-10-15,nathanreed@gmail.com,905-555-8765,235 Cedar St,Mississauga,Ontario,L5N 3W6
23,Lucas,Cooper,M,1990-06-22,lucascooper@gmail.com,905-555-5678,891 Cedar St,Burlington,Ontario,L7R 4T2
18,004Abigail,Bell,F,1983-05-01,abigailbell@gmail.com,613-555-2345,346 Pine St,Ottawa,Ontario,K1A 1B3
19,Elijah,Martin,M,1986-12-30,elijahmartin@gmail.com,905-555-5678,457 Maple St,Hamilton,Ontario,L8P 4V8
20,Isabella,Cook,F,1993-07-20,isabellacook@gmail.com,519-555-9876,568 Elm St,London,Ontario,N6A 2X4
